Publisher,Original_Keyword,Brand_Non_Brand,total_visits
google,non smudge mascara,NB,25.0
google,good foundation for sensitive skin,NB,14.0
bing,top mascaras,NB,3.0
google,transparent face powder,NB,5.0
bing,best mascara no smudge,NB,1.0
bing,lash enhancing mascara,NB,2.0
google,foundation makeup,NB,134.0
google,best powder for shine,NB,2.0
google,best lengthening mascara,NB,24.0
google,sweat proof mascara,NB,19.0
google,best makeup foundation,NB,7.0
google,foundation makeup for dry skin,NB,1.0
google,match foundation,NB,593.0
google,best anti aging foundation,NB,1.0
bing,best no smudge mascara,NB,3.0
bing,lash curling mascara,NB,6.0
bing,banana powder,NB,3.0
google,mattifying powder,NB,11.0
bing,best lengthing mascara,NB,1.0
bing,mascara wont flake,NB,1.0
google,best mascara long lashes,NB,3.0
bing,best mascara for false eyelashes,NB,1.0
google,best foundation for mature skin over 40,NB,24.0
google,find foundation shade,NB,158.0
bing,mascaras,NB,1952.0
bing,non flake mascara,NB,4.0
google,best mascaras for longer lashes,NB,3.0
google,best mascara for short eyelashes,NB,32.0
bing,water resistant mascara,NB,30.0
google,all day powder foundation,NB,4.0
google,natural look foundation,NB,9.0
bing,fiber mascara,NB,8.0
google,no flaking mascara,NB,18.0
google,coconut oil mascara,NB,9.0
google,best foundation for even skin tone,NB,2.0
google,best powder foundation,NB,13.0
google,foundation for skin type,NB,6.0
google,good foundation for combination skin,NB,1.0
bing,best mascaras for thick lashes,NB,1.0
bing,no flaking mascara,NB,1.0
google,mascara for lower lash,NB,11.0
google,best mascara for longer eyelashes,NB,2.0
google,makeup foundation with spf,NB,6.0
google,full coverage foundation makeup,NB,6.0
google,best foundation makeup sensitive skin,NB,30.0
google,cream foundation,NB,152.0
google,foundation without talc,NB,8.0
bing,loose powder,NB,3807.0
google,curl mascara,NB,46.0
google,best type of foundation for oily skin,NB,1.0
bing,thickening mascara,NB,9.0
google,best mascara that doesn t smudge,NB,28.0
google,powder finish foundation,NB,1.0
bing,best fiber mascara,NB,1.0
google,mascara,NB,2690.0
google,powder oil free,NB,2.0
google,the best lengthening mascara,NB,1.0
google,bb beauty cream,NB,6.0
google,best foundation anti aging,NB,2.0
google,foundation makeup for sensitive skin,NB,13.0
bing,top 10 mascaras,NB,40.0
bing,mascara eye,NB,6.0
google,best waterproof mascara,NB,148.0
google,best mascara thick lashes,NB,8.0
google,which is the best mascara,NB,1.0
google,foundation fine lines,NB,1.0
google,face foundation,NB,49.0
bing,waterproof smearproof mascara,NB,1.0
google,best mascara for long thick lashes,NB,25.0
google,best bb cream for sensitive skin,NB,6.0
google,foundation makeup best,NB,1.0
google,light coverage foundation makeup,NB,2.0
google,water based foundation for oily skin,NB,1.0
google,mascara clump free,NB,1.0
google,best mascara longer lashes,NB,3.0
google,mascaras for straight lashes,NB,7.0
google,the best mascara ever,NB,9.0
google,over 40 foundation,NB,1.0
google,face foundation with spf,NB,1.0
google,foundation for black women,NB,30.0
bing,mascara lower lash,NB,1.0
google,best brown mascara,NB,22.0
google,fiber mascara,NB,295.0
google,best new mascara,NB,2.0
google,best foundation for combo skin,NB,1.0
bing,mascara for long lashes,NB,20.0
bing,best mascaras ever,NB,107.0
bing,face powder,NB,2500.0
google,long lashes mascara,NB,5.0
google,best mascara volume,NB,5.0
bing,really good mascara,NB,5.0
google,blue color mascara,NB,1.0
google,mascara sparse lashes,NB,4.0
google,dry skin liquid foundation,NB,1.0
google,foundation for brown skin,NB,2.0
google,waterproof liquid foundation,NB,2.0
bing,mascara that does not clump,NB,3.0
bing,best mascara thin lashes,NB,1.0
google,no smudge mascara,NB,58.0
google,mascara for thick eyelashes,NB,4.0
google,lengthening and volumizing mascara,NB,3.0
google,bb cream sensitive skin,NB,4.0
google,light foundation,NB,240.0
google,cc foundation,NB,19.0
google,wrinkle foundation,NB,6.0
google,best foundations for dry skin,NB,3.0
google,best mascara for thick lashes,NB,13.0
google,best mascara for thick eyelashes,NB,7.0
google,best mascara sparse lashes,NB,2.0
google,best foundation for aging skin over 40,NB,15.0
google,over 60 foundation,NB,5.0
bing,long wear mascara,NB,1.0
google,pressed powder,NB,298.0
google,best foundation for uneven skin texture,NB,1.0
google,best foundation for over 50,NB,32.0
google,best foundation for aging skin over 60,NB,21.0
google,foundation for combo skin,NB,4.0
google,best long lashes mascara,NB,1.0
google,double sided mascara,NB,10.0
google,2 sided mascara,NB,3.0
google,best mascara brush,NB,1.0
google,false lash effect mascara,NB,4.0
google,what is the best matte foundation,NB,1.0
google,matte foundation,NB,392.0
bing,false lash effect mascara,NB,2.0
google,flake proof mascara,NB,15.0
google,light coverage makeup foundation,NB,1.0
google,best matte foundation,NB,31.0
google,best foundation for aging,NB,9.0
google,anti aging foundation,NB,35.0
google,loose powder foundation,NB,14.0
bing,mascara hypoallergenic,NB,6.0
google,best blue mascara,NB,10.0
google,mascara for short lashes,NB,23.0
google,best black mascara,NB,2.0
google,best foundation dry skin,NB,5.0
google,best foundation for oily skin large pores,NB,2.0
google,skin moisturizer,NB,119.0
google,good mascara brands,NB,1.0
google,lash defining mascara,NB,1.0
google,best water based mascara,NB,8.0
google,foundations for combination skin,NB,4.0
google,oil free pressed powder foundation,NB,1.0
google,matte makeup foundation,NB,3.0
google,foundation liquid,NB,4.0
bing,no flake mascara,NB,5.0
google,best mascara blue,NB,1.0
google,thick eyelash mascara,NB,1.0
google,oil-free foundation,NB,112.0
google,the best foundation for oily skin,NB,1.0
bing,eyelash curlers,NB,43.0
bing,lash mascara,NB,4.0
bing,fiber lash mascara,NB,7.0
google,mascara for lengthening,NB,8.0
google,mascara with fan brush,NB,1.0
google,eye mascara,NB,27.0
google,what is the best mascara,NB,26.0
google,best foundation for normal skin,NB,1.0
google,make up foundation,NB,26.0
google,cc cream,NB,159.0
google,best matte foundation for oily skin,NB,2.0
google,matte all day foundation,NB,1.0
bing,what mascara is the best,NB,23.0
google,best foundations for oily skin,NB,8.0
google,all day foundation,NB,22.0
bing,sweat proof mascara,NB,2.0
google,cc face cream,NB,8.0
google,non comedogenic foundation,NB,11.0
google,liquid foundation,NB,198.0
google,lengthening mascara,NB,39.0
google,volumizing mascara,NB,54.0
google,mascara thin eyelashes,NB,4.0
bing,what is a good mascara,NB,1.0
bing,mascara no flake,NB,3.0
google,best foundation for fair skin,NB,26.0
google,best smear proof mascara,NB,1.0
bing,lengthening eyelashes,NB,1.0
bing,best brand of mascara,NB,10.0
google,oil free powder,NB,7.0
google,loose powder makeup,NB,9.0
google,lash mascara,NB,31.0
google,2 in 1 mascara,NB,12.0
google,mascara for false eyelash look,NB,1.0
google,good mascara primer,NB,9.0
google,best foundation acne,NB,4.0
google,best foundation makeup for sensitive skin,NB,27.0
google,foundation for over 50,NB,13.0
google,best foundation for mature over 60,NB,1.0
google,foundation with aloe,NB,1.0
google,healthy foundation for skin,NB,6.0
bing,what is the best mascara,NB,1768.0
google,best shine control powder,NB,2.0
google,mascara hypoallergenic,NB,49.0
google,mascara for short eyelashes,NB,7.0
google,cool undertones foundation,NB,28.0
bing,best smear proof mascara,NB,2.0
google,who makes cc cream,NB,1.0
google,best mascara for long eyelashes,NB,2.0
google,drugstore foundation,NB,86.0
bing,mascara for short lashes,NB,2.0
google,foundation shade,NB,1367.0
google,bb cream,NB,3044.0
google,hypoallergenic mascara,NB,645.0
google,best non clumping mascara,NB,41.0
google,best mascara for false eyelashes,NB,5.0
google,thicker eyelashes,NB,54.0
google,mineral powder foundation,NB,22.0
google,creme foundation,NB,9.0
bing,curl mascara,NB,8.0
google,find my foundation,NB,11.0
google,mascara lengthening,NB,1.0
google,foundation for aging skin over 50,NB,3.0
google,best foundation for wrinkles,NB,115.0
bing,long lasting mascara,NB,145.0
bing,loose powder makeup,NB,8.0
bing,mascara lashes,NB,4.0
google,best face powder makeup,NB,57.0
google,cream foundations,NB,45.0
google,what is the best foundation for oily skin,NB,3.0
bing,lower lash mascara,NB,4.0
bing,mascara for eyelash lengthening,NB,7.0
bing,best mascara for thin eyelashes,NB,6.0
google,shine free powder,NB,1.0
google,best mascara for lengthening,NB,34.0
google,smudge proof mascara,NB,771.0
google,best foundation for women over 50,NB,62.0
bing,non flaking mascara,NB,4.0
google,matte finishing powder,NB,2.0
google,best long eyelashes mascara,NB,9.0
google,mascara long eyelashes,NB,5.0
google,drugstore waterproof mascara,NB,10.0
google,best mascara,NB,326.0
google,what foundation is good for oily skin,NB,1.0
google,longwear foundation,NB,19.0
bing,lash curl mascara,NB,1.0
bing,color mascara,NB,1.0
bing,lengthening mascara,NB,2146.0
google,good mascara drugstore,NB,2.0
google,mascara for long eyelashes,NB,3.0
google,mascara for longer lashes,NB,2.0
google,best lengthening mascara drugstore,NB,2.0
google,makeup face foundation,NB,4.0
bing,mascara brush,NB,5.0
google,brown mascara,NB,426.0
google,what is mascara,NB,11.0
google,eyelash curling mascara,NB,7.0
google,best foundation make up,NB,1.0
google,matte foundation powder,NB,1.0
google,best powder foundation for oily skin,NB,4.0
google,banana powder,NB,75.0
google,24 hr mascara,NB,16.0
google,all day mascara,NB,6.0
google,best foundation for women over 40,NB,34.0
google,how to choose the perfect foundation,NB,173.0
bing,smudgeproof mascara,NB,2.0
google,best foundation for uneven skin tone,NB,4.0
google,matte powder foundation,NB,1.0
google,best highlighter powder,NB,59.0
google,smear proof mascara,NB,8.0
google,mascara for curly lashes,NB,3.0
google,skin tone foundation,NB,78.0
bing,best mascaras for straight lashes,NB,1.0
google,best mascaras,NB,48.0
google,bottom lashes mascara,NB,7.0
google,mascara for sensitive eyes,NB,23.0
google,best water proof mascara,NB,5.0
google,pressed powder foundation,NB,8.0
google,cream foundation makeup,NB,13.0
google,best foundation for mature skin over 60,NB,80.0
google,fiber mascara best,NB,5.0
google,foundations makeup,NB,51.0
google,find your foundation shade,NB,319.0
google,transfer proof foundation,NB,60.0
google,best mascara long eyelashes,NB,3.0
google,lash curl mascara,NB,14.0
google,matte bb cream,NB,28.0
bing,best volumizing and lengthening mascara,NB,1.0
bing,sparse lashes mascara,NB,1.0
bing,powder for oily skin,NB,3074.0
google,best mascara primer,NB,29.0
google,shine control powder,NB,2.0
google,two in one mascara,NB,2.0
google,good waterproof mascara,NB,13.0
google,best foundation,NB,342.0
google,best liquid foundation,NB,25.0
bing,drama mascara,NB,1.0
google,best foundations for combination skin,NB,1.0
google,mascara straight lashes,NB,2.0
google,flake free mascara,NB,40.0
google,smudge resistant mascara,NB,5.0
google,lash volume,NB,10.0
google,best mascara with fibers,NB,5.0
google,best foundation to even skin tone,NB,5.0
google,best mascara to lengthen lashes,NB,7.0
google,oil free makeup foundation,NB,5.0
google,foundation for uneven skin tone,NB,1.0
google,good foundation makeup,NB,5.0
google,24 hour foundation,NB,20.0
bing,waterproof smudgeproof mascara,NB,1.0
bing,non smudge mascara,NB,5.0
bing,mascara longer lashes,NB,1.0
google,best no clump mascara,NB,14.0
google,shine free foundation,NB,1.0
bing,mascara for false eyelashes,NB,1.0
google,waterproof foundation,NB,177.0
google,no smear mascara,NB,11.0
google,best no smudge mascara,NB,35.0
google,best mascara for short thin lashes,NB,47.0
google,best mascara for curly lashes,NB,14.0
google,foundation for acne prone skin,NB,18.0
google,foundation for over 30,NB,3.0
bing,best mascara to use,NB,1.0
google,voluminous mascara,NB,47.0
google,best skin foundation,NB,1.0
bing,clump free mascara,NB,1.0
google,mattifying loose powder,NB,3.0
google,types of mascara,NB,2.0
google,best mascara to use,NB,2.0
google,best mascara for curly eyelashes,NB,6.0
google,best liquid foundation for sensitive skin,NB,1.0
google,face powder,NB,357.0
google,defining mascara,NB,2.0
google,dry skin foundation,NB,11.0
bing,mascara wand,NB,3.0
bing,eye mascara,NB,3.0
google,best mascara thin lashes,NB,11.0
google,good foundations for oily skin,NB,1.0
google,baking powder,NB,29.0
google,best pressed powder foundation,NB,2.0
google,foundation for mature skin over 60,NB,6.0
google,smudgeproof mascara,NB,13.0
google,sweatproof mascara,NB,6.0
google,best sweat proof mascara,NB,13.0
google,foundation makeup for oily skin,NB,1.0
bing,what is mascara,NB,45.0
google,best liquid foundation makeup,NB,5.0
bing,good mascara,NB,25.0
bing,powder oily skin,NB,172.0
bing,best rated mascara,NB,71.0
bing,eyelash lengthening mascara,NB,2124.0
bing,best mascara primer,NB,2.0
google,anti-clump mascara,NB,2.0
google,best makeup foundation for oily skin,NB,1.0
bing,mascara for eyelash lengthen,NB,15.0
bing,top mascara,NB,4.0
google,what is the best volumizing mascara,NB,10.0
google,mascara for thin eyelashes,NB,4.0
google,non clump mascara,NB,21.0
bing,best lengthening mascara,NB,68.0
bing,waterproof mascara remover,NB,5.0
google,best foundation for over 40,NB,15.0
google,foundation match,NB,458.0
google,all day lasting foundation,NB,2.0
google,best makeup foundation for sensitive skin,NB,1.0
bing,voluminous mascara,NB,41.0
bing,best mascara for lengthening,NB,1.0
bing,new mascara,NB,7.0
google,top drugstore mascara,NB,3.0
google,best matte powder foundation,NB,2.0
bing,best lengthening mascara drugstore,NB,3.0
bing,mascara flake free,NB,2.0
google,facial powder,NB,278.0
google,powder makeup,NB,364.0
google,lengthening eyelashes,NB,5.0
google,lash curlers,NB,20.0
google,blue mascara,NB,162.0
google,false eyelashes mascara,NB,48.0
google,how to pick the perfect foundation,NB,110.0
google,foundation for dry sensitive skin,NB,18.0
google,face lift foundation,NB,2.0
google,foundation for olive skin tones,NB,18.0
bing,best mascara for short lashes,NB,3.0
google,mascaras,NB,1140.0
google,top mascara,NB,5.0
google,foundation for aging skin over 40,NB,2.0
google,best face foundation,NB,5.0
google,aging skin foundation,NB,14.0
google,foundation for hispanic skin,NB,1.0
google,neutral undertones foundation,NB,6.0
bing,no smudge mascara,NB,55.0
bing,good mascara brands,NB,3.0
google,best drugstore mascara,NB,3.0
google,mascara that does not clump,NB,5.0
google,foundation for oily skin,NB,196.0
google,what is the best foundation makeup,NB,4.0
google,sulfate free foundation,NB,6.0
google,long lasting mascara,NB,9.0
google,natural look mascara,NB,3.0
bing,blue mascara,NB,19.0
google,mascara lower lashes,NB,5.0
google,eyelash lengthening mascara,NB,3.0
bing,top 10 mascara,NB,3.0
google,highlighter face powder,NB,2.0
google,best thickening mascara,NB,2.0
google,what is the best mascara to use,NB,13.0
google,all day foundation makeup,NB,1.0
bing,false eye lashes mascara,NB,26.0
bing,lash volume,NB,3.0
google,mascara short eyelashes,NB,3.0
google,drama mascara,NB,15.0
google,best rated mascara,NB,36.0
google,best over the counter foundation,NB,11.0
google,best matte bb cream,NB,4.0
bing,mascara for lash lengthen,NB,8.0
bing,transparent face powder,NB,2.0
google,powder foundation for light skin,NB,1.0
google,best defining mascara,NB,3.0
google,mascara for curly eyelashes,NB,9.0
google,find foundation color,NB,101.0
google,best mascara for no clumping,NB,8.0
google,best otc mascara,NB,2.0
bing,highlighter powder,NB,3.0
google,best mascara no smudge,NB,30.0
bing,best water proof mascara,NB,43.0
google,lower lash mascara,NB,39.0
google,mascara that lengthens,NB,7.0
google,cc beauty cream,NB,1.0
google,best foundation for anti aging,NB,5.0
google,best foundation for aging skin over 50,NB,79.0
bing,mascara makeup,NB,16.0
bing,best hypoallergenic mascara,NB,22.0
google,best matte face powder,NB,5.0
google,mascara brands,NB,3.0
google,oil free powder foundation,NB,3.0
google,foundation sensitive skin,NB,11.0
google,best foundation for over 30,NB,3.0
bing,false lashes,NB,688.0
google,top mascaras,NB,3.0
google,fiber drugstore mascara,NB,1.0
google,best foundation for my skin tone,NB,3.0
google,color correcting foundation,NB,3.0
google,hydrating foundation,NB,151.0
bing,curling mascara,NB,11.0
google,straight lashes mascara,NB,1.0
google,mascara for sparse lashes,NB,2.0
google,powder foundation matte,NB,1.0
google,best matte foundation for combination skin,NB,1.0
google,foundation that's healthy for your skin,NB,2.0
google,oily skin foundations,NB,3.0
google,mascara brush,NB,20.0
bing,volumizing mascara,NB,5.0
bing,mascara clump free,NB,6.0
google,waterproof smudgeproof mascara,NB,5.0
google,best foundation fine lines,NB,9.0
google,best foundation for black women,NB,18.0
bing,best mascara for long lashes,NB,1.0
bing,best lengthening and volumizing mascara,NB,3.0
bing,non clumping mascara,NB,79.0
google,best matte powder,NB,6.0
google,best mascara drugstore,NB,12.0
google,long wear mascara,NB,4.0
google,foundation long wear,NB,2.0
bing,best volumizing mascaras,NB,30.0
google,natural looking foundation,NB,39.0
google,lash lengthening mascara,NB,10.0
google,fiber mascara drugstore,NB,7.0
google,black mascara,NB,110.0
google,best aging foundation,NB,4.0
google,best foundation for oily skin,NB,49.0
bing,thicker eyelashes,NB,5.0
bing,mascara make up,NB,53.0
google,mascara for longer eyelashes,NB,3.0
google,bb face cream,NB,17.0
